1,1,1,1,63,13
2,2,2,1,63,17
3,3,3,1,89,19
4,2,2,1,89,23
5,3,3,1,207,29
6,1,1,1,207,31
平均,2,2,1,119.6666667,22
总时间,12,12,1,207,31
,,,,,
1,1,1,1,145,13
2,2,2,1,145,17
3,3,3,1,73,19
4,2,2,1,139,23
5,3,3,1,301,29
6,1,1,1,301,31
平均,2,2,1,184,22
总时间,12,12,1,301,31
,,,,,
1,1,1,1,17,13
2,2,2,1,62,17
3,3,3,1,70,19
4,2,2,1,70,23
5,3,3,1,186,29
6,1,1,1,186,31
平均,2,2,1,98.5,22
总时间,12,12,1,186,31
,,,,,
1,1,1,1,45,13
2,2,2,1,243,17
3,3,3,1,243,19
4,2,2,1,157,23
5,3,3,1,120,29
6,1,1,1,120,31
平均,2,2,1,154.6666667,22
总时间,12,12,1,243,31
,,,,,
1,1,1,1,75,13
2,2,2,1,75,17
3,3,3,1,69,19
4,2,2,1,69,23
5,3,3,1,182,29
6,1,1,1,182,31
平均,2,2,1,108.6666667,22
总时间,12,12,1,182,31
